Date,hpi,gdp,cpi,rate
1978-01-01,79.59,2202.76,5.7,6.7
1978-04-01,82.74,2331.633,5.71,6.89
1978-07-01,85.15,2395.053,5.99,7.81
1978-10-01,87.49,2476.949,6.54,8.96
1979-01-01,91.4,2526.61,7.02,10.07
1979-04-01,94.45,2591.247,7.25,10.01
1979-07-01,96.46,2667.565,7.5,10.47
1979-10-01,98.27,2723.883,7.89,13.77
1980-01-01,100,2789.842,8.15,13.82
1980-04-01,101.63,2797.352,8.55,17.61
1980-07-01,104.44,2856.483,8.6,9.03
1980-10-01,104.54,2985.557,8.57,12.81
1981-01-01,105.2,3124.206,8.59,19.08
1981-04-01,107.42,3162.532,8.5,15.72
1981-07-01,108.8,3260.609,8.1,19.04
1981-10-01,107.51,3280.818,7.62,15.08
1982-01-01,106.18,3274.302,6.83,13.22
1982-04-01,108.83,3331.972,5.86,14.94
1982-07-01,107.04,3366.322,5.76,12.59
1982-10-01,111.73,3402.561,5.06,9.71
1983-01-01,114.44,3473.413,4.64,8.68
1983-04-01,115.96,3578.848,4.47,8.8
1983-07-01,116.98,3689.179,3.79,9.37
1983-10-01,117.67,3794.706,3.56,9.48
1984-01-01,119.45,3908.054,3.59,9.56
1984-04-01,121.06,4009.601,3.78,10.29
1984-07-01,122.19,4084.25,3.79,11.23
1984-10-01,123.18,4148.551,3.94,9.99
1985-01-01,124.92,4230.168,3.73,8.35
1985-04-01,126.8,4294.887,3.61,8.27
1985-07-01,128.77,4386.773,3.55,7.88
1985-10-01,130.2,4444.094,3.46,7.99
1986-01-01,132.74,4507.894,3.72,8.14
1986-04-01,135.52,4545.34,3.33,6.99
1986-07-01,137.59,4607.669,3.27,6.56
1986-10-01,139.71,4657.627,3.27,5.85
1987-01-01,142.48,4722.156,3.16,6.43
1987-04-01,144.7,4806.16,3.57,6.37
1987-07-01,146.37,4884.555,3.59,6.58
1987-10-01,147.32,5007.994,3.73,7.29
1988-01-01,149.62,5073.372,3.62,6.83
1988-04-01,152.61,5190.036,3.51,6.87
1988-07-01,154.2,5282.835,3.77,7.75
1988-10-01,155.61,5399.509,3.82,8.3
1989-01-01,157.42,5511.253,4.05,9.12
1989-04-01,159.59,5612.463,4.16,9.84
1989-07-01,162.99,5695.365,4.04,9.24
1989-10-01,164.34,5747.237,3.94,8.84
1990-01-01,165.27,5872.701,3.85,8.23
1990-04-01,165.96,5960.028,3.9,8.26
1990-07-01,166.99,6015.116,3.96,8.15
1990-10-01,166.34,6004.733,4.01,8.11
1991-01-01,167.71,6035.178,3.82,6.91
1991-04-01,168.83,6126.862,3.35,5.91
1991-07-01,169.16,6205.937,3.1,5.82
1991-10-01,171.52,6264.54,2.83,5.21
1992-01-01,172.85,6363.102,2.88,4.03
1992-04-01,172.81,6470.763,2.94,3.73
1992-07-01,174.78,6566.641,2.82,3.25
1992-10-01,175.65,6680.803,2.64,3.1
1993-01-01,175.74,6729.459,2.5,3.02
1993-04-01,177.42,6808.939,2.52,2.96
1993-07-01,178.86,6882.098,2.5,3.06
1993-10-01,180.32,7013.738,2.49,2.99
1994-01-01,181.45,7115.652,2.36,3.05
1994-04-01,182.53,7246.931,2.3,3.56
1994-07-01,183.28,7331.075,2.35,4.26
1994-10-01,183.13,7455.288,2.26,4.76
1995-01-01,184.09,7522.289,2.35,5.53
1995-04-01,187.12,7580.997,2.31,6.05
1995-07-01,190,7683.125,2.16,5.85
1995-10-01,191.46,7772.586,2.32,5.76
1996-01-01,193.61,7868.468,2.25,5.56
1996-04-01,193.93,8032.84,2.22,5.22
1996-07-01,194.79,8131.408,2.32,5.4
1996-10-01,196.31,8259.771,2.34,5.24
1997-01-01,197.94,8362.655,2.35,5.25
1997-04-01,199.57,8518.825,2.31,5.51
1997-07-01,202.28,8662.823,2.13,5.52
1997-10-01,204.92,8765.907,1.9,5.5
1998-01-01,207.99,8866.48,1.66,5.56
1998-04-01,209.85,8969.699,1.63,5.45
1998-07-01,212.79,9121.097,1.69,5.54
1998-10-01,215.3,9293.991,1.77,5.07
1999-01-01,217.56,9411.682,1.84,4.63
1999-04-01,220.46,9526.21,1.77,4.74
1999-07-01,223.59,9686.626,1.79,4.99
1999-10-01,225.89,9900.169,1.81,5.2
2000-01-01,230.22,10002.179,2,5.45
2000-04-01,233.97,10247.72,2.18,6.02
2000-07-01,238.23,10318.165,2.3,6.54
2000-10-01,241.88,10435.744,2.42,6.51
2001-01-01,247.87,10470.231,2.52,5.98
2001-04-01,252.02,10599,2.59,4.8
2001-07-01,255.93,10598.02,2.63,3.77
2001-10-01,259.1,10660.465,2.5,2.49
2002-01-01,262.82,10783.5,2.24,1.73
2002-04-01,267.3,10887.46,2.17,1.75
2002-07-01,272.6,10984.04,2.03,1.73
2002-10-01,276.47,11061.433,2.08,1.75
2003-01-01,279.84,11174.129,2.08,1.24
2003-04-01,283.26,11312.766,1.84,1.26
2003-07-01,287.62,11566.669,1.77,1.01
2003-10-01,295.76,11772.234,1.73,1.01
2004-01-01,300.42,11923.447,1.81,1
2004-04-01,307.75,12112.815,2.11,1
2004-07-01,319.47,12305.307,2.26,1.26
2004-10-01,326.31,12527.214,2.21,1.76
2005-01-01,333.79,12767.286,2.37,2.28
2005-04-01,344.48,12922.656,2.29,2.79
2005-07-01,354.96,13142.642,2.25,3.26
2005-10-01,362.99,13324.204,2.45,3.78
2006-01-01,368.75,13599.16,2.39,4.29
2006-04-01,372.53,13753.424,2.47,4.79
2006-07-01,375.59,13870.188,2.79,5.24
2006-10-01,379.43,14039.56,2.71,5.25
2007-01-01,380.84,14215.651,2.71,5.25
2007-04-01,380.59,14402.082,2.66,5.25
2007-07-01,376.35,14564.117,2.35,5.26
2007-10-01,375.13,14715.058,2.47,4.76
2008-01-01,372.38,14706.538,2.56,3.94
2008-04-01,362.98,14865.701,2.51,2.28
2008-07-01,351.55,14898.999,2.69,2.01
2008-10-01,348.3,14608.209,2.44,0.97
2009-01-01,350.89,14430.902,2.22,0.15
2009-04-01,341.69,14381.236,2.08,0.15
2009-07-01,332.77,14448.882,1.62,0.16
2009-10-01,330.23,14651.249,1.5,0.12
2010-01-01,326.29,14764.61,1.2,0.11
2010-04-01,323.33,14980.193,0.93,0.2
2010-07-01,326.48,15141.607,0.85,0.18
2010-10-01,324.16,15309.474,0.8,0.19
2011-01-01,315.16,15351.448,1,0.17
2011-04-01,309.62,15557.539,1.42,0.1
2011-07-01,311.93,15647.68,1.7,0.07
2011-10-01,313.36,15842.259,1.93,0.07
2012-01-01,310.08,16068.805,2.09,0.08
2012-04-01,308.66,16207.115,1.99,0.14
2012-07-01,312.79,16319.541,1.84,0.16
2012-10-01,315.23,16420.419,1.78,0.16
2013-01-01,316.81,16648.189,1.57,0.14
2013-04-01,321.64,16728.687,1.42,0.15
2013-07-01,326.27,16953.838,1.55,0.09
2013-10-01,328.88,17192.019,1.52,0.09
2014-01-01,331.59,17197.738,1.63,0.07
2014-04-01,338.02,17518.508,1.72,0.09
2014-07-01,342.92,17804.228,1.73,0.09
2014-10-01,345.7,17912.079,1.68,0.09
2015-01-01,349.49,18063.529,1.49,0.11
2015-04-01,355.16,18279.784,1.57,0.12
2015-07-01,360.21,18401.626,1.55,0.13
2015-10-01,363.12,18435.137,1.52,0.12
2016-01-01,366.48,18525.933,1.6,0.34
2016-04-01,373.33,18711.702,1.64,0.37
2016-07-01,379.98,18892.639,1.67,0.39
2016-10-01,382.95,19089.379,1.82,0.4
2017-01-01,385.72,19280.084,1.95,0.65
2017-04-01,394.37,19438.643,1.78,0.9
2017-07-01,400.44,19692.595,1.64,1.15
2017-10-01,403.78,20037.088,1.63,1.15
2018-01-01,409.45,20328.553,1.72,1.41
2018-04-01,417,20580.912,1.76,1.69
2018-07-01,422.09,20798.73,1.93,1.91
2018-10-01,423.54,20917.867,1.96,2.19
2019-01-01,428.27,21104.133,1.92,2.4
2019-04-01,435.4,21384.775,2.12,2.42
2019-07-01,440.95,21694.282,2.04,2.4
2019-10-01,444.88,21902.39,2.02,1.83
2020-01-01,450.03,21706.513,1.98,1.55
2020-04-01,454.54,19913.143,1.74,0.05
2020-07-01,462.48,21647.64,1.85,0.09
2020-10-01,472.66,22024.502,1.79,0.09
2021-01-01,484.05,22600.185,1.7,0.09
2021-04-01,510.95,23292.362,1.94,0.07
2021-07-01,539.45,23828.973,2.13,0.1
2021-10-01,558.1,24654.603,2.75,0.08
2022-01-01,578.69,25029.116,3.71,0.08
2022-04-01,617.63,25544.273,4.03,0.33
2022-07-01,628.14,25994.639,4.72,1.68
2022-10-01,623.29,26408.405,4.98,3.08
2023-01-01,626.07,26813.601,4.78,4.33
2023-04-01,645.18,27063.012,4.88,4.83
